epoch,loss,lr,mean_absolute_error,root_mean_squared_error,tf_mbe,val_loss,val_mean_absolute_error,val_root_mean_squared_error,val_tf_mbe
0,4.482603073120117,0.001,1.287611722946167,1.8820163011550903,-0.12971274554729462,5.279334545135498,1.3442661762237549,1.9643182754516602,-0.288103848695755
1,4.314291477203369,0.001,1.2651705741882324,1.8485532999038696,-0.10959187150001526,5.24656867980957,1.3257766962051392,1.9582432508468628,-0.27492696046829224
2,4.280092239379883,0.001,1.261336088180542,1.841557264328003,-0.1077069491147995,5.286149978637695,1.3280515670776367,1.9673960208892822,-0.24706818163394928
3,4.260515213012695,0.001,1.2595447301864624,1.8373488187789917,-0.10809486359357834,5.35273551940918,1.3288995027542114,1.9793590307235718,-0.2512635886669159
4,4.2485032081604,0.001,1.2582850456237793,1.8348661661148071,-0.10808378458023071,5.282813549041748,1.3262338638305664,1.9659630060195923,-0.25032827258110046
5,4.23185396194458,0.0005,1.2565457820892334,1.8312803506851196,-0.10751796513795853,5.384245872497559,1.3274340629577637,1.9847782850265503,-0.2554718255996704
6,4.226158618927002,0.0005,1.2559306621551514,1.8301920890808105,-0.10761512815952301,5.380575656890869,1.328969955444336,1.9842604398727417,-0.24882058799266815
7,4.223000526428223,0.0005,1.25584876537323,1.8295204639434814,-0.10780195891857147,5.360144138336182,1.323201298713684,1.9802366495132446,-0.2549860179424286
8,4.22006368637085,0.00025,1.2553374767303467,1.8289474248886108,-0.10748971253633499,5.373708724975586,1.3251266479492188,1.9825265407562256,-0.2612368166446686
9,4.217742919921875,0.00025,1.2553790807724,1.8285102844238281,-0.10761791467666626,5.432763576507568,1.3288178443908691,1.9936376810073853,-0.25745120644569397
10,4.2164998054504395,0.00025,1.2548490762710571,1.828019380569458,-0.10776814818382263,5.4651360511779785,1.3312292098999023,1.9991458654403687,-0.2628615200519562
11,4.2157816886901855,0.000125,1.254940152168274,1.8281015157699585,-0.10741837322711945,5.372645854949951,1.3236467838287354,1.98222815990448,-0.2638621926307678
12,4.213324069976807,0.000125,1.2544217109680176,1.827483892440796,-0.10750748217105865,5.448535442352295,1.3294774293899536,1.9958685636520386,-0.2689204812049866
13,4.213936805725098,0.000125,1.254510521888733,1.8275816440582275,-0.10732731968164444,5.392652988433838,1.3258718252182007,1.986261010169983,-0.25823864340782166
